AccNo,Type,PhoneNo,CallTime,Duration
SA-0185-10-64,L,69447745,2012-09-11 15:10:54,704
SA-0220-61-46,L,68125606,2012-06-28 22:34:14,558
SA-0252-71-33,L,60891263,2012-01-05 22:17:32,494
SA-0055-36-68,L,64579256,2012-06-23 10:27:42,912
SA-0033-12-88,L,60411687,2012-03-19 21:56:38,146
SA-0339-42-22,L,69121717,2012-01-23 18:40:41,311
SA-0279-91-74,L,62318453,2012-08-05 09:17:58,651
SA-0138-33-52,L,62248848,2011-02-15 00:17:48,841
SA-0092-93-02,L,66560787,2012-10-02 08:15:26,434
SA-0012-71-76,L,65629302,2012-10-10 08:08:38,765
SA-0107-05-98,L,69374365,2011-04-23 08:40:21,673
SA-0155-74-77,L,65513287,2011-11-29 00:14:42,753
SA-0361-84-31,L,61163062,2012-03-24 10:01:35,482
SA-0187-35-19,L,61406158,2012-08-19 22:03:11,278
SA-0185-59-07,L,62767618,2012-07-26 10:29:09,273
SA-0202-82-34,L,61937695,2011-08-07 08:28:13,834
SA-0401-55-12,L,60410067,2012-04-02 00:16:50,234
SA-0263-79-37,L,62466419,2011-04-20 13:07:52,628
SA-0055-36-68,L,60637869,2011-08-26 02:43:29,805
SA-0261-41-34,L,67414136,2011-04-16 22:56:28,943
SA-0033-12-88,L,65265195,2011-01-05 10:32:41,195
SA-0290-06-89,L,67778598,2012-07-01 20:45:16,143
SA-0220-48-64,L,63496970,2011-11-01 20:02:09,982
SA-0114-12-73,L,67883906,2011-11-19 08:06:11,667
SA-0314-69-44,L,62647987,2012-11-07 18:10:36,393
SA-0305-50-15,L,65459180,2012-02-04 19:50:55,804
SA-0063-02-33,L,69709913,2011-05-18 03:08:04,319
SA-0005-14-91,L,68922253,2012-08-14 23:00:36,570
SA-0133-16-62,L,63392422,2012-08-13 04:15:35,260
SA-0343-60-69,L,64803972,2012-04-02 09:45:05,525
SA-0185-59-07,L,63971885,2011-11-18 06:25:40,852
SA-0021-95-06,L,66253725,2012-05-23 01:49:05,157
SA-0187-35-19,L,62619121,2011-01-06 22:40:10,835
SA-0055-36-68,L,64803098,2011-03-10 15:47:56,738
SA-0080-84-93,L,62235249,2012-12-08 15:27:10,989
SA-0312-94-95,L,68041988,2011-12-11 22:33:45,779
SA-0343-60-69,L,63461139,2011-03-14 11:08:20,508
SA-0220-48-64,L,64071363,2012-08-12 14:42:19,616
SA-0305-50-15,L,61147075,2011-05-03 04:11:01,128
SA-0401-55-12,L,62384619,2012-04-24 18:43:27,165
SA-0155-74-77,L,60268213,2012-04-29 11:57:25,535
SA-0107-05-98,L,68750105,2012-08-24 14:34:55,555
SA-0210-42-47,L,62800407,2011-06-22 17:35:50,912
SA-0312-94-95,L,65832039,2012-01-02 10:36:15,520
SA-0187-35-19,L,62821294,2011-11-04 07:22:15,267
SA-0185-10-64,L,67635670,2011-08-12 15:00:34,821
SA-0144-10-84,L,66300363,2011-04-17 08:40:17,963
SA-0080-84-93,L,68673470,2012-01-08 04:37:10,827
SA-0144-10-84,L,61510064,2011-03-22 03:52:46,311
SA-0050-81-89,L,60765763,2011-01-30 04:09:56,137
SA-0414-20-79,L,63582062,2012-10-17 09:33:48,207
SA-0303-06-26,L,61736919,2011-10-15 12:06:58,501
SA-0107-05-98,L,67706609,2011-10-14 07:22:07,329
SA-0147-43-82,L,64973134,2011-01-25 23:51:54,640
SA-0080-84-93,L,62460051,2011-06-05 05:43:31,978
SA-0414-20-79,L,61004313,2011-08-27 09:27:58,771
SA-0133-16-62,L,67921151,2012-09-14 13:47:26,483
SA-0187-35-19,L,68245341,2012-02-20 06:17:52,311
SA-0151-98-79,L,68993481,2011-07-23 06:52:12,953
SA-0033-12-88,L,65615292,2012-03-21 16:42:17,443
SA-0303-06-26,L,67036948,2011-12-14 21:57:14,633
SA-0021-95-06,L,69046386,2011-08-14 22:43:28,72
SA-0037-94-05,L,67225197,2011-07-11 18:12:18,370
SA-0033-12-88,L,63560151,2011-01-17 01:50:37,627
SA-0343-60-69,L,60592417,2011-08-12 00:02:17,74
SA-0185-59-07,L,64542205,2012-02-07 20:31:00,184
SA-0186-07-48,L,60338045,2011-08-04 12:38:41,375
SA-0005-14-91,L,69658588,2012-09-02 13:14:37,798
SA-0155-74-77,L,61249469,2011-01-13 22:00:00,750
SA-0151-98-79,L,60723401,2012-11-08 15:57:15,399
SA-0144-10-84,L,62250011,2012-09-20 06:15:38,364
SA-0009-04-02,L,63936132,2011-11-06 20:53:47,273
SA-0227-78-67,L,61704983,2011-01-28 15:16:10,337
SA-0202-82-34,L,66949853,2012-08-20 16:20:22,465
SA-0114-12-73,L,64427810,2012-02-02 18:22:03,470
SA-0279-91-74,L,66911955,2011-08-17 23:28:35,594
SA-0112-53-34,L,66713759,2012-05-10 03:30:42,997
SA-0314-69-44,L,63776590,2012-02-22 12:34:06,205
SA-0401-55-12,L,66831551,2011-11-28 21:47:49,854
SA-0187-35-19,L,61809599,2011-07-25 18:24:08,618
SA-0263-79-37,L,67994105,2012-09-01 14:57:54,255
SA-0305-50-15,L,67880303,2012-10-16 09:12:14,977
SA-0227-78-67,L,69969411,2012-08-09 14:39:49,464
SA-0185-10-64,L,62271790,2012-05-08 18:18:52,534
SA-0182-19-79,L,67619671,2011-05-27 11:41:29,408
SA-0290-06-89,L,66630464,2012-02-13 13:46:42,112
SA-0185-59-07,L,67232368,2012-06-23 11:29:25,285
SA-0335-96-08,L,64209369,2012-05-07 23:04:55,570
SA-0005-14-91,L,67335357,2012-12-05 14:08:04,707
SA-0155-74-77,L,66150160,2012-05-11 12:25:13,410
SA-0361-84-31,L,62083256,2012-04-17 01:26:51,479
SA-0080-84-93,L,63072139,2012-03-29 21:23:07,993
SA-0361-84-31,L,68862466,2012-04-04 00:04:30,487
SA-0314-69-44,L,60319425,2011-01-04 07:48:57,922
SA-0063-02-33,L,64695138,2012-09-19 13:26:58,234
SA-0050-81-89,L,62422009,2011-03-30 01:40:16,672
SA-0202-82-34,L,69164592,2011-04-27 18:35:47,543
SA-0303-06-26,L,69529899,2011-11-06 06:15:18,594
SA-0155-74-77,L,65549211,2011-11-25 19:37:42,362
SA-0335-96-08,L,66353090,2011-02-21 11:07:34,368
SA-0187-35-19,L,68812710,2012-11-08 07:50:42,976
SA-0361-84-31,L,69504241,2011-01-13 21:19:01,209
SA-0343-60-69,L,62250816,2012-08-22 08:22:22,834
SA-0138-33-52,L,61813547,2011-07-02 01:36:46,699
SA-0210-42-47,L,62084707,2012-02-02 19:30:21,308
SA-0092-93-02,L,61470095,2011-03-01 20:25:19,236
SA-0220-61-46,L,66908181,2012-04-16 07:24:01,830
SA-0263-79-37,L,61457788,2011-01-07 18:34:46,127
SA-0414-86-48,L,60703218,2011-09-15 05:22:33,259
SA-0414-20-79,L,69829131,2012-10-04 17:57:24,628
SA-0312-94-95,L,63032793,2011-05-14 05:21:57,586
SA-0112-53-34,L,60240839,2011-04-08 07:29:52,797
SA-0112-53-34,L,64109429,2011-06-27 06:41:07,241
SA-0185-59-07,L,67280971,2011-08-19 12:55:21,259
SA-0263-79-37,L,68942353,2012-10-24 07:54:23,168
SA-0112-53-34,L,67635108,2011-12-04 20:46:00,663
SA-0220-61-46,L,66716392,2012-01-12 18:19:40,866
SA-0303-06-26,L,60703647,2011-09-01 23:31:53,335
SA-0037-94-05,L,67425986,2012-01-16 05:44:33,157
SA-0252-71-33,L,64361489,2012-11-05 05:42:12,299
SA-0144-10-84,L,64545920,2012-03-19 19:49:47,494
SA-0080-84-93,L,61620060,2011-06-10 15:14:21,830
SA-0021-95-06,L,60488362,2012-08-19 20:59:20,831
SA-0252-71-33,L,65201615,2012-07-18 06:13:35,72
SA-0012-71-76,L,60698465,2011-07-26 03:47:33,577
SA-0263-79-37,L,67146758,2011-10-09 03:06:08,678
SA-0021-95-06,L,62860857,2011-04-23 12:31:06,831
SA-0361-84-31,L,62698397,2011-04-02 16:01:13,167
SA-0314-69-44,L,63417795,2012-04-10 23:04:36,62
SA-0185-59-07,L,61434941,2012-04-20 17:57:58,215
SA-0080-84-93,L,66441143,2012-06-05 12:47:33,896
SA-0414-20-79,L,62608675,2011-04-02 13:47:19,655
SA-0021-95-06,L,69319782,2012-10-11 03:52:34,970
SA-0303-06-26,L,68777091,2011-09-01 16:18:46,730
SA-0112-53-34,L,65353094,2011-02-15 21:51:17,796
SA-0055-36-68,L,60213742,2012-09-14 12:19:12,845
SA-0249-45-54,L,69146762,2012-03-22 20:44:29,616
SA-0182-19-79,L,64837461,2012-06-23 14:57:47,298
SA-0290-06-89,L,62917656,2011-08-23 02:57:41,886
SA-0185-59-07,L,67321115,2012-10-16 22:41:20,701
SA-0182-19-79,L,68902747,2011-12-03 12:37:52,873
SA-0335-96-08,L,60061387,2011-12-02 14:07:53,864
SA-0055-36-68,L,64441787,2011-03-17 18:43:10,217
SA-0186-07-48,L,61293351,2012-05-30 18:27:34,816
SA-0202-82-34,L,61459649,2011-10-15 14:55:59,544
SA-0037-94-05,L,65695954,2012-10-20 09:01:58,108
SA-0187-35-19,L,63979599,2011-08-01 19:26:52,375
SA-0220-48-64,L,61686748,2011-02-10 04:28:55,386
SA-0151-98-79,L,63765076,2011-05-09 03:20:44,324
SA-0037-94-05,L,62152982,2011-12-04 23:43:35,269
SA-0263-79-37,L,61261865,2012-04-11 13:40:36,296
SA-0414-86-48,L,61191657,2011-10-22 08:52:28,314
SA-0033-12-88,L,65434266,2012-12-23 09:46:33,689
SA-0378-80-96,L,61791118,2012-07-09 18:20:42,639
SA-0151-98-79,L,69096666,2012-08-14 20:53:56,881
SA-0227-78-67,L,63218877,2011-10-14 08:55:27,740
SA-0005-14-91,L,64289912,2012-01-15 06:42:45,333
SA-0227-78-67,L,66465542,2012-04-18 10:41:46,777
SA-0012-71-76,L,65895660,2012-09-18 03:39:02,538
SA-0092-93-02,L,67849100,2012-06-29 14:32:05,689
SA-0185-59-07,L,66430881,2011-08-25 12:56:13,887
SA-0312-94-95,L,66442897,2011-04-19 02:31:11,627
SA-0037-94-05,L,67832247,2011-03-27 05:26:14,539
SA-0185-59-07,L,69843542,2011-07-16 15:08:47,113
SA-0361-84-31,L,67415912,2012-01-21 07:34:13,220
