AccNo,Type,PhoneNo,CallTime,During_in_secs
SA-0227-78-67,L,64205092,2011-03-13 07:03:38,1278
SA-0261-41-34,L,61138624,2011-04-13 17:25:43,2901
SA-0361-84-31,L,60893587,2012-11-10 21:13:57,440
SA-0151-98-79,L,68320466,2011-09-23 02:37:49,2022
SA-0314-69-44,L,60853411,2012-01-03 06:31:11,2254
SA-0145-41-01,L,61546642,2011-03-13 18:48:25,2546
SA-0263-79-37,L,65046700,2011-12-08 00:37:40,1081
SA-0401-55-12,L,67332945,2011-12-06 12:57:42,846
SA-0147-43-82,L,64575675,2011-01-24 22:14:25,2543
SA-0263-79-37,L,67884591,2012-04-21 08:27:31,2594
SA-0005-14-91,L,66026261,2012-03-02 11:55:10,3052
SA-0220-61-46,L,62727703,2012-02-06 07:11:13,396
SA-0151-98-79,L,63667288,2011-01-17 15:51:15,1957
SA-0361-84-31,L,63861803,2012-09-22 12:07:48,2218
SA-0005-14-91,L,65585332,2011-10-07 23:40:58,2245
SA-0252-71-33,L,65412223,2011-10-25 01:39:46,1889
SA-0145-41-01,L,67741246,2012-03-28 00:30:14,3224
SA-0063-02-33,L,65632969,2011-11-29 16:31:02,2962
SA-0005-14-91,L,65514238,2012-07-26 16:14:24,2217
SA-0222-28-58,L,60412436,2012-10-11 02:36:51,626
SA-0249-45-54,L,67311862,2011-12-17 16:52:37,341
SA-0138-33-52,L,60721323,2012-10-16 04:40:04,1034
SA-0009-04-02,L,63603484,2012-05-02 12:13:48,1740
SA-0343-60-69,L,60352540,2012-11-27 03:25:50,3355
SA-0414-86-48,L,66448073,2011-07-01 20:04:52,1711
SA-0361-84-31,L,67165687,2012-06-24 21:27:00,3544
SA-0279-91-74,L,61676936,2011-02-10 23:01:01,2591
SA-0361-84-31,L,65570184,2011-03-18 22:03:21,1420
SA-0414-20-79,L,61336566,2011-09-24 05:42:45,1895
SA-0263-79-37,L,64372137,2012-10-10 04:07:06,3010
SA-0185-59-07,L,66094054,2011-08-16 23:08:42,1862
SA-0261-41-34,L,68394534,2012-08-03 17:31:48,2653
SA-0114-12-73,L,61886405,2012-01-12 18:22:24,1474
SA-0155-74-77,L,65494125,2012-02-16 17:52:55,751
SA-0033-12-88,L,62808168,2012-12-30 05:25:59,1883
SA-0220-48-64,L,64921410,2012-03-07 12:29:56,2799
SA-0263-79-37,L,61411857,2012-04-27 23:20:34,1958
SA-0414-20-79,L,69022669,2011-04-07 04:50:35,2404
SA-0222-28-58,L,61154304,2012-10-01 08:50:30,1239
SA-0220-48-64,L,60313875,2011-07-21 08:35:59,1516
SA-0343-60-69,L,61409310,2011-05-14 17:25:19,2290
SA-0378-80-96,L,66222451,2011-11-20 14:36:17,274
SA-0138-33-52,L,64617550,2012-04-14 22:18:18,2950
SA-0033-12-88,L,66817128,2012-07-14 02:15:38,1754
SA-0263-79-37,L,64134304,2011-07-06 09:11:12,825
SA-0145-41-01,L,63610750,2012-03-26 18:01:20,1410
SA-0314-69-44,L,64711519,2012-07-04 03:34:29,1001
SA-0063-02-33,L,64951944,2011-10-04 03:09:39,2918
SA-0147-43-82,L,63542911,2012-12-18 23:21:52,1994
SA-0343-60-69,L,69627225,2011-09-08 07:14:44,1841
SA-0227-78-67,L,63321166,2011-04-10 08:23:49,3014
SA-0145-41-01,L,60200119,2012-07-24 05:15:48,663
SA-0261-41-34,L,67867464,2011-06-22 06:59:49,2458
SA-0050-81-89,L,66984876,2012-01-28 03:29:20,3455
SA-0050-81-89,L,64247736,2011-12-02 07:31:26,880
SA-0261-41-34,L,62970769,2012-05-14 20:16:04,2341
SA-0021-95-06,L,65892076,2011-03-23 01:00:29,2085
SA-0080-84-93,L,68779315,2012-06-09 22:19:26,3105
SA-0220-61-46,L,62139304,2012-01-21 12:27:58,1955
SA-0314-69-44,L,63081965,2011-11-03 23:47:27,2804
SA-0220-48-64,L,68585700,2011-03-30 04:26:34,2846
SA-0279-91-74,L,61916574,2012-10-05 00:26:44,802
SA-0145-41-01,L,62267778,2012-06-21 04:49:02,946
SA-0114-12-73,L,61603144,2011-02-15 20:05:49,709
SA-0037-94-05,L,61358088,2012-02-17 11:17:51,2800
SA-0414-20-79,L,65444941,2012-10-22 04:46:17,2779
SA-0138-33-52,L,65291549,2011-10-10 19:49:16,3439
SA-0145-41-01,L,67261976,2012-12-31 19:16:59,3347
SA-0021-95-06,L,69125476,2011-10-18 02:47:17,1162
SA-0107-05-98,L,65004969,2012-08-24 18:17:57,2447
SA-0063-02-33,L,60565543,2011-11-13 21:02:58,1728
SA-0227-78-67,L,60611531,2011-09-28 05:34:30,660
SA-0063-02-33,L,68588652,2011-11-27 05:24:56,2936
SA-0186-07-48,L,69766815,2011-06-04 14:45:46,1482
SA-0080-84-93,L,66076886,2011-05-17 13:29:58,1630
SA-0227-78-67,L,63876136,2012-07-31 13:57:19,793
SA-0112-53-34,L,60774366,2012-06-11 20:18:37,2527
SA-0279-91-74,L,63500799,2012-01-18 23:03:59,2298
SA-0312-94-95,L,68501522,2011-03-15 09:19:39,3080
SA-0187-35-19,L,62242979,2012-06-21 15:43:38,196
SA-0080-84-93,L,61254776,2011-06-03 18:52:37,278
SA-0055-36-68,L,67434965,2012-03-14 05:53:58,1860
SA-0220-61-46,L,68491397,2011-03-14 09:08:33,3572
SA-0133-16-62,L,68651484,2012-09-19 21:39:51,542
SA-0185-10-64,L,64823170,2011-02-22 15:22:16,540
SA-0080-84-93,L,60227290,2012-02-12 23:16:18,1935
SA-0263-79-37,L,69078549,2012-12-03 18:56:05,1913
SA-0151-98-79,L,69171311,2012-02-23 10:53:36,757
SA-0252-71-33,L,60935084,2012-06-25 22:29:14,2657
SA-0055-36-68,L,64913192,2012-12-23 01:11:22,2672
SA-0145-41-01,L,66736084,2011-06-23 01:22:00,929
SA-0145-41-01,L,60197618,2011-08-30 17:49:31,2674
SA-0033-12-88,L,68530167,2011-07-30 02:57:23,3292
SA-0249-45-54,L,68481141,2012-09-15 16:07:10,3446
SA-0185-59-07,L,66819095,2011-09-26 19:45:10,1539
SA-0021-95-06,L,62651171,2011-06-15 13:14:10,1868
SA-0185-59-07,L,68716944,2011-08-19 23:21:22,2587
SA-0185-59-07,L,69747569,2012-11-22 20:36:22,3469
SA-0290-06-89,L,66293902,2012-06-16 11:25:50,2842
SA-0252-71-33,L,61854101,2012-04-05 14:22:08,3505
SA-0037-94-05,L,63547657,2012-12-23 19:16:33,3426
SA-0202-82-34,L,69647972,2012-01-12 20:56:33,3347
SA-0037-94-05,L,61342542,2012-12-19 11:01:36,2944
SA-0185-59-07,L,66396412,2011-02-28 16:27:48,2774
SA-0050-81-89,L,68056161,2012-01-15 09:38:06,1538
SA-0186-07-48,L,66092616,2012-07-23 12:07:44,2743
SA-0401-55-12,L,61701392,2011-12-01 01:44:53,1682
SA-0155-74-77,L,61265845,2011-04-19 03:38:28,810
SA-0312-94-95,L,61695817,2012-05-04 10:34:13,439
SA-0151-98-79,L,64228251,2012-01-26 18:31:24,2269
SA-0414-20-79,L,60955114,2012-09-01 05:05:16,449
SA-0220-61-46,L,61696607,2012-11-06 11:30:01,1960
SA-0263-79-37,L,66402638,2012-01-30 09:18:09,3161
SA-0210-42-47,L,69356020,2012-03-18 12:51:03,2304
SA-0138-33-52,L,62504381,2011-02-06 22:18:38,2119
SA-0185-10-64,L,66661253,2011-10-07 07:30:06,1036
SA-0080-84-93,L,67454573,2011-02-06 20:59:07,2998
SA-0261-41-34,L,69704125,2011-06-04 21:55:20,3481
SA-0186-07-48,L,63979322,2011-05-29 21:13:33,2026
SA-0335-96-08,L,67665764,2011-03-30 18:59:27,1428
SA-0378-80-96,L,66688253,2011-12-28 01:35:18,1826
SA-0112-53-34,L,67153451,2011-01-01 15:02:56,2860
SA-0185-59-07,L,67863611,2011-12-16 03:26:28,2952
SA-0220-61-46,L,65637010,2011-11-04 22:46:58,560
SA-0222-28-58,L,69733827,2012-06-01 23:01:43,3462
SA-0055-36-68,L,64964236,2012-02-05 04:23:45,856
SA-0063-02-33,L,60610109,2012-03-01 10:32:24,914
SA-0009-04-02,L,61005490,2011-05-22 17:21:52,3481
SA-0252-71-33,L,64864685,2012-09-17 15:40:11,3016
SA-0263-79-37,L,63663276,2011-11-25 12:29:01,2543
SA-0202-82-34,L,61305580,2011-05-08 03:28:07,3490
SA-0303-06-26,L,61149093,2012-11-25 12:22:29,2627
SA-0312-94-95,L,60533062,2011-04-06 05:42:41,1832
SA-0339-42-22,L,66485252,2012-10-03 17:14:43,2649
SA-0414-20-79,L,67016306,2011-10-28 15:19:52,3549
SA-0279-91-74,L,63658324,2012-09-13 16:23:53,1452
SA-0335-96-08,L,61230544,2012-11-24 04:24:46,358
SA-0112-53-34,L,63712010,2012-01-04 18:39:48,334
SA-0063-02-33,L,67618122,2012-05-15 04:45:27,3300
SA-0107-05-98,L,64156469,2011-07-10 11:31:14,2582
SA-0114-12-73,L,66923415,2011-12-28 21:30:26,2767
SA-0114-12-73,L,65382608,2012-12-26 16:29:53,2123
SA-0414-20-79,L,69844408,2011-12-16 04:19:47,798
SA-0133-16-62,L,68807635,2011-12-17 06:25:34,1909
SA-0037-94-05,L,67974615,2011-12-21 23:13:18,1608
SA-0107-05-98,L,68309153,2011-11-22 16:23:13,1641
SA-0021-95-06,L,61269592,2012-01-24 10:45:38,2724
SA-0055-36-68,L,65478781,2012-12-23 04:38:54,793
SA-0185-59-07,L,61358920,2011-05-31 12:35:22,1267
SA-0144-10-84,L,68278075,2011-07-20 23:06:49,1002
SA-0210-42-47,L,63366793,2012-09-12 14:25:33,1699
SA-0303-06-26,L,60048528,2011-06-14 23:23:58,1303
SA-0021-95-06,L,67479365,2012-02-14 04:16:10,1425
SA-0005-14-91,L,63171820,2012-07-15 14:27:07,1765
SA-0055-36-68,L,67273993,2011-01-13 22:52:18,1897
SA-0335-96-08,L,63057850,2012-02-23 20:42:40,1621
SA-0114-12-73,L,66235466,2011-10-02 05:02:45,133
SA-0050-81-89,L,67401567,2012-09-25 17:27:34,2856
SA-0414-86-48,L,61635383,2012-03-10 06:23:49,3343
SA-0414-86-48,L,67291704,2012-04-08 01:13:10,1296
SA-0378-80-96,L,62757842,2011-05-19 03:16:26,895
SA-0145-41-01,L,65347224,2012-06-01 21:07:45,1963
SA-0290-06-89,L,66103620,2012-07-03 02:06:28,730
SA-0092-93-02,L,66724977,2012-11-28 14:35:35,2367
SA-0112-53-34,L,61203196,2011-01-02 01:24:11,2730
SA-0202-82-34,L,63557895,2012-09-14 10:37:25,1897
SA-0279-91-74,L,60988422,2012-05-10 13:29:01,1199
SA-0290-06-89,L,62981852,2012-08-17 04:13:37,1046
SA-0252-71-33,L,63891684,2011-10-20 15:52:23,111
SA-0220-61-46,L,69251493,2011-08-05 21:32:25,3541
SA-0185-59-07,L,66194443,2011-10-23 12:19:55,1500
SA-0220-61-46,L,68172581,2011-06-08 00:38:47,1428
SA-0187-35-19,L,61160769,2011-05-21 15:40:16,2306
SA-0314-69-44,L,63829935,2011-01-26 15:00:18,2569
SA-0144-10-84,L,64507519,2011-03-19 17:02:18,1098
SA-0133-16-62,L,68244900,2012-02-07 00:11:47,1999
SA-0185-10-64,L,69355328,2012-08-29 04:38:13,217
SA-0305-50-15,L,68027185,2012-12-11 03:45:39,273
SA-0252-71-33,L,64371289,2011-06-12 06:48:31,1910
SA-0133-16-62,L,64599250,2011-12-31 21:28:33,3379
SA-0339-42-22,L,67888515,2011-11-01 23:38:49,691
SA-0063-02-33,L,64717549,2011-02-03 20:17:53,1685
SA-0092-93-02,L,68596563,2012-10-14 00:31:25,1602
SA-0050-81-89,L,65979806,2012-05-09 16:30:27,1347
SA-0290-06-89,L,64447158,2012-11-20 21:14:20,2544
SA-0220-61-46,L,62616824,2012-06-06 21:16:26,1337
SA-0220-48-64,L,67642901,2012-08-25 06:41:24,211
SA-0303-06-26,L,62091294,2012-01-29 14:55:26,848
SA-0012-71-76,L,60219223,2011-05-14 01:01:43,1384
SA-0012-71-76,L,68734904,2012-03-25 09:18:28,2839
SA-0151-98-79,L,61677072,2011-12-15 18:29:55,97
SA-0343-60-69,L,63055507,2012-06-08 12:36:30,1164
SA-0155-74-77,L,68749170,2011-08-06 18:45:11,393
SA-0279-91-74,L,66229271,2012-07-11 03:43:19,2396
SA-0335-96-08,L,61042391,2012-06-08 11:10:56,1861
SA-0185-59-07,L,60815011,2012-11-06 05:24:02,3335
SA-0147-43-82,L,68092147,2012-08-15 23:25:42,944
SA-0138-33-52,L,62193663,2012-09-18 22:42:06,837
SA-0210-42-47,L,68557204,2012-01-15 04:24:11,3345
SA-0227-78-67,L,64107446,2012-02-01 12:55:12,877
SA-0138-33-52,L,60191495,2012-11-13 09:21:11,2878
SA-0147-43-82,L,68125078,2012-02-16 12:09:44,2008
SA-0314-69-44,L,69693378,2011-12-09 11:56:48,1161
SA-0261-41-34,L,63666294,2012-12-27 16:24:13,3138
SA-0092-93-02,L,68637617,2011-08-11 07:51:41,539
SA-0263-79-37,L,60049575,2011-03-30 07:28:10,679
SA-0220-48-64,L,62926273,2012-05-09 01:34:27,1217
SA-0335-96-08,L,67938616,2012-03-19 17:51:15,3541
SA-0279-91-74,L,66235773,2011-01-16 17:23:53,2516
SA-0279-91-74,L,66726911,2011-01-07 20:49:55,2357
SA-0252-71-33,L,65544732,2011-05-09 14:06:15,2689
SA-0261-41-34,L,68509681,2011-03-09 23:24:16,3400
SA-0107-05-98,L,68867763,2012-07-15 00:03:50,1448
SA-0414-20-79,L,61456110,2011-02-24 02:30:56,1836
SA-0335-96-08,L,63916718,2011-02-11 13:56:11,130
SA-0155-74-77,L,66017764,2011-03-03 16:36:24,2857
SA-0182-19-79,L,68590369,2011-07-29 04:37:28,1139
SA-0227-78-67,L,66167636,2012-02-28 03:23:23,676
SA-0414-86-48,L,66314794,2011-04-29 00:53:22,1223
SA-0080-84-93,L,64719879,2012-01-02 02:36:27,797
SA-0414-86-48,L,63861002,2012-08-16 00:37:57,85
SA-0378-80-96,L,60062459,2012-07-05 12:07:52,1187
SA-0361-84-31,L,68762323,2012-06-04 01:42:10,3485
SA-0155-74-77,L,64930134,2011-06-04 09:15:05,3522
SA-0202-82-34,L,63946314,2012-07-09 04:38:41,2404
SA-0401-55-12,L,69525051,2011-08-04 23:39:44,2188
SA-0378-80-96,L,68947856,2011-01-07 22:14:53,527
SA-0063-02-33,L,65346653,2011-07-04 12:04:50,2900
SA-0210-42-47,L,60093215,2012-12-24 14:35:53,2038
SA-0312-94-95,L,64725561,2011-01-03 22:14:53,2122
SA-0290-06-89,L,62757605,2012-09-20 19:20:13,118
SA-0252-71-33,L,65873514,2011-02-05 01:39:45,131
SA-0033-12-88,L,67543633,2011-06-20 08:49:03,1529
SA-0222-28-58,L,67548571,2012-05-05 11:19:21,884
SA-0033-12-88,L,62252934,2011-08-17 07:54:03,1392
SA-0414-86-48,L,60803938,2012-06-13 18:32:00,2750
SA-0021-95-06,L,69468547,2012-01-15 02:44:16,2174
SA-0210-42-47,L,67118555,2012-09-30 09:21:55,1273
SA-0227-78-67,L,66302064,2012-03-12 15:39:25,3335
SA-0220-48-64,L,68553860,2011-05-06 11:23:24,2971
SA-0012-71-76,L,67320842,2011-08-10 03:49:50,436
SA-0220-61-46,L,68734095,2012-08-29 00:53:02,2130
SA-0145-41-01,L,63922982,2012-04-19 04:47:15,96
SA-0063-02-33,L,69662739,2012-07-02 09:24:59,2925
SA-0343-60-69,L,66576529,2011-01-29 11:18:08,2407
SA-0063-02-33,L,62217897,2012-12-17 15:15:39,647
SA-0151-98-79,L,64628302,2011-07-30 07:42:49,2009
SA-0378-80-96,L,64768004,2011-09-20 09:58:01,3275
SA-0220-61-46,L,69018470,2012-04-11 11:30:04,950
SA-0009-04-02,L,62226903,2011-12-26 23:28:55,273
SA-0312-94-95,L,62738947,2012-12-18 08:59:23,3229
SA-0202-82-34,L,66368495,2011-03-11 08:36:43,229
SA-0092-93-02,L,61935781,2012-08-16 02:54:09,1727
SA-0005-14-91,L,66844039,2012-09-24 18:53:16,349
SA-0414-20-79,L,65729448,2012-01-27 02:42:12,3048
SA-0092-93-02,L,69312571,2012-09-18 20:54:55,731
SA-0414-86-48,L,67411003,2012-12-31 02:26:38,1729
SA-0220-61-46,L,64172768,2011-02-14 04:33:44,3271
SA-0303-06-26,L,69297123,2011-12-17 07:57:00,1712
SA-0021-95-06,L,69928547,2012-09-25 19:29:09,371
SA-0055-36-68,L,69573182,2011-02-12 03:41:22,1745
SA-0185-59-07,L,60507342,2012-07-11 08:44:14,611
SA-0312-94-95,L,62691733,2011-07-10 08:36:39,1259
SA-0037-94-05,L,69283118,2012-11-17 07:45:37,318
SA-0401-55-12,L,66124634,2012-12-04 03:03:56,309
SA-0012-71-76,L,69666089,2012-03-03 18:00:34,3330
SA-0182-19-79,L,62612874,2012-06-19 03:14:21,1935
SA-0112-53-34,L,69415564,2011-04-29 04:08:02,2381
SA-0021-95-06,L,69772402,2011-12-08 01:19:18,104
SA-0227-78-67,L,66373274,2011-07-12 21:08:08,552
SA-0312-94-95,L,61443683,2012-06-24 01:09:47,1946
SA-0378-80-96,L,60257637,2012-07-13 14:29:08,320
SA-0314-69-44,L,60976608,2012-05-08 22:51:19,1255
SA-0414-86-48,L,67818610,2012-05-19 05:34:00,887
SA-0290-06-89,L,62287837,2011-05-04 04:07:28,1610
SA-0021-95-06,L,65031237,2012-12-24 18:46:58,2572
SA-0005-14-91,L,60812209,2011-08-05 21:38:09,2326
SA-0145-41-01,L,62695257,2011-12-27 19:24:56,2230
SA-0252-71-33,L,61620387,2011-03-07 17:44:11,2768
SA-0261-41-34,L,62194539,2012-12-21 19:34:20,2357
SA-0145-41-01,L,60515587,2012-11-04 11:57:49,2495
SA-0114-12-73,L,65934015,2011-05-15 17:56:03,3289
SA-0303-06-26,L,65118920,2011-04-04 10:26:18,411
SA-0144-10-84,L,62835563,2012-08-19 02:42:10,1146
SA-0145-41-01,L,68155207,2012-05-21 23:34:38,1735
SA-0263-79-37,L,64998598,2011-12-16 00:15:13,503
SA-0009-04-02,L,66147655,2012-12-15 13:35:33,1008
SA-0005-14-91,L,63095112,2011-07-23 08:45:08,936
SA-0138-33-52,L,62592043,2012-02-16 18:08:21,2234
SA-0021-95-06,L,62384676,2011-06-01 18:03:56,3021
SA-0261-41-34,L,66848497,2011-05-12 05:14:39,1119
SA-0252-71-33,L,69144141,2012-12-05 13:53:28,3026
SA-0151-98-79,L,68021512,2012-03-14 19:32:58,1901
SA-0261-41-34,L,63695630,2011-08-20 14:09:26,2337
SA-0339-42-22,L,62662037,2012-09-22 00:24:54,3260
SA-0227-78-67,L,68520894,2011-10-27 20:56:03,1969
SA-0249-45-54,L,65564624,2012-05-12 02:30:08,677
SA-0055-36-68,L,68233609,2011-06-13 00:56:01,1066
SA-0151-98-79,L,66072080,2012-06-13 12:30:25,1420
SA-0107-05-98,L,67389260,2012-11-02 06:19:00,3020
SA-0202-82-34,L,65158628,2012-04-05 14:39:29,613
SA-0361-84-31,L,67149478,2011-07-30 02:29:57,2694
SA-0187-35-19,L,68630708,2011-12-04 00:19:31,1999
SA-0033-12-88,L,64562375,2012-04-16 17:15:07,197
SA-0303-06-26,L,61836859,2011-09-02 21:08:08,2005
SA-0050-81-89,L,60463938,2012-10-09 20:02:18,1343
SA-0114-12-73,L,61023158,2012-11-12 19:22:23,249
SA-0343-60-69,L,64527191,2011-11-10 12:38:10,1313
SA-0290-06-89,L,65092752,2011-05-09 05:42:13,1179
SA-0202-82-34,L,61515381,2012-09-19 18:29:47,700
SA-0261-41-34,L,62903048,2011-10-28 02:08:03,411
SA-0186-07-48,L,68269062,2011-01-09 19:39:35,3265
SA-0182-19-79,L,69585634,2011-06-17 09:02:16,2135
SA-0080-84-93,L,65818696,2011-06-16 23:35:17,493
SA-0220-48-64,L,64465984,2011-08-06 10:40:49,672
SA-0303-06-26,L,63622230,2011-12-11 12:53:49,452
SA-0107-05-98,L,67590860,2011-01-08 22:18:22,2412
SA-0112-53-34,L,64311711,2012-12-13 11:03:58,2773
SA-0186-07-48,L,65322237,2012-08-06 09:00:50,3148
SA-0033-12-88,L,66042340,2012-08-15 21:44:35,1775
SA-0145-41-01,L,61815320,2011-02-08 22:10:57,2363
SA-0335-96-08,L,69828065,2012-12-15 02:42:13,741
SA-0401-55-12,L,62140245,2011-08-01 11:19:26,2775
SA-0303-06-26,L,66570599,2011-12-21 01:54:22,1440
SA-0314-69-44,L,66139198,2011-03-14 00:59:08,2260
SA-0361-84-31,L,63738555,2011-06-03 20:58:21,142
SA-0222-28-58,L,62653027,2011-10-11 13:23:16,219
SA-0401-55-12,L,61314354,2011-09-29 08:32:54,2728
SA-0312-94-95,L,61383655,2012-09-05 07:52:17,3295
SA-0005-14-91,L,63198351,2011-06-09 00:51:57,1161
SA-0092-93-02,L,65796880,2012-10-28 05:58:04,1248
SA-0009-04-02,L,68733475,2011-09-18 14:01:10,1626
SA-0361-84-31,L,68998143,2012-01-26 09:50:53,258
SA-0227-78-67,L,66847795,2012-05-01 03:57:13,1103
SA-0314-69-44,L,61559128,2011-08-12 14:54:01,1669
SA-0210-42-47,L,68599628,2011-07-12 12:31:32,3347
SA-0182-19-79,L,69311213,2012-07-16 11:16:05,851
SA-0021-95-06,L,63445334,2011-04-23 00:31:45,1541
SA-0361-84-31,L,68123939,2011-03-15 23:00:57,2208
SA-0343-60-69,L,62416180,2012-08-03 04:55:46,3567
SA-0050-81-89,L,61540395,2011-02-15 04:36:07,1306
SA-0210-42-47,L,65362985,2012-01-11 10:15:45,683
SA-0114-12-73,L,66944469,2011-07-27 03:14:11,2566
SA-0303-06-26,L,61199387,2012-08-17 09:59:59,1445
SA-0414-20-79,L,64897194,2012-01-30 00:38:38,829
SA-0220-61-46,L,66248901,2011-04-12 12:51:09,1549
SA-0133-16-62,L,62992754,2011-11-26 11:53:35,2964
SA-0335-96-08,L,63016166,2011-01-20 02:26:49,1433
SA-0249-45-54,L,69084005,2012-10-25 07:26:13,2371
SA-0080-84-93,L,64704841,2012-01-31 09:43:52,220
SA-0092-93-02,L,68911698,2012-09-11 05:00:52,2550
SA-0303-06-26,L,68871722,2011-11-07 17:08:42,1698
SA-0252-71-33,L,67643727,2011-10-09 11:25:27,2202
SA-0182-19-79,L,64104752,2011-11-19 04:37:52,2775
SA-0339-42-22,L,61191464,2012-01-27 13:31:11,188
SA-0335-96-08,L,60610440,2011-03-20 12:32:41,541
SA-0186-07-48,L,64999885,2011-06-19 04:43:22,911
SA-0261-41-34,L,61954103,2011-04-15 00:51:29,2627
SA-0263-79-37,L,67509138,2011-09-02 17:04:55,1325
SA-0050-81-89,L,68073307,2011-11-30 07:46:05,2022
SA-0037-94-05,L,63529783,2012-05-13 08:13:37,1029
SA-0114-12-73,L,61802127,2012-10-09 04:44:31,1244
SA-0414-86-48,L,68907573,2012-07-01 21:18:02,2704
SA-0414-86-48,L,62678228,2012-06-22 19:37:56,2366
SA-0138-33-52,L,64794145,2011-10-04 23:05:11,2940
SA-0314-69-44,L,62991843,2011-06-26 23:29:45,2512
SA-0220-48-64,L,69734046,2011-03-19 21:20:15,1630
SA-0414-86-48,L,68450552,2011-03-30 18:59:29,84
SA-0012-71-76,L,67233168,2011-05-05 05:06:43,1367
SA-0252-71-33,L,60340591,2011-08-21 12:41:10,1734
SA-0050-81-89,L,65621999,2012-07-31 19:15:20,151
SA-0012-71-76,L,65143164,2011-05-25 21:41:39,2275
SA-0050-81-89,L,69408257,2011-03-01 10:32:02,2541
SA-0335-96-08,L,62428388,2012-01-23 00:36:45,1589
SA-0220-48-64,L,63229237,2012-11-04 03:56:13,2472
SA-0063-02-33,L,60716699,2011-11-17 05:00:16,2577
