AccNo,CaMVLMVLTMVIme,Type,PhoneNo,DuMVRatMVIon
SA-0185-10-64,24/5/2012 5:46,MVL,69524096,149
SA-0114-12-73,10/1/2012 20:35,MVL,67564604,311
SA-0312-94-95,30/3/2012 17:18,MVL,66836312,325
SA-0210-42-47,17/6/2011 8:20,MVL,67722159,482
SA-0249-45-54,16/1/2012 13:05,MVL,66906783,479
SA-0314-69-44,8/4/2012 4:47,MVL,67804378,282
SA-0202-82-34,4/2/2012 12:42,MVL,62689548,93
SA-0033-12-88,2/12/2011 13:26,MVL,62745427,509
SA-0414-86-48,6/9/2012 20:58,MVL,66312866,752
SA-0249-45-54,8/2/2011 23:48,MVL,68322973,364
SA-0335-96-08,30/4/2011 4:09,MVL,62585556,535
SA-0080-84-93,11/2/2012 18:31,MVL,66339230,414
SA-0112-53-34,17/4/2011 9:22,MVL,64012059,536
SA-0303-06-26,16/6/2012 16:12,MVL,64803814,330
SA-0249-45-54,9/5/2012 5:37,MVL,66241366,205
SA-0185-59-07,15/6/2011 12:34,MVL,69615152,186
SA-0033-12-88,20/12/2012 10:30,MVL,61418530,218
SA-0303-06-26,15/9/2012 7:47,MVL,69192311,344
SA-0037-94-05,21/7/2012 5:52,MVL,61566624,361
SA-0182-19-79,5/4/2012 5:37,MVL,67477478,829
SA-0185-59-07,10/6/2011 10:56,MVL,62697008,157
SA-0138-33-52,16/11/2012 6:11,MVL,64140586,557
SA-0107-05-98,10/1/2012 20:14,MVL,61929539,586
SA-0107-05-98,11/12/2011 2:12,MVL,63728280,267
SA-0021-95-06,29/12/2011 23:52,MVL,60297512,311
SA-0249-45-54,26/6/2011 12:33,MVL,66569359,365
SA-0187-35-19,21/12/2012 3:32,MVL,66677778,789
SA-0005-14-91,3/8/2011 6:09,MVL,64636235,477
SA-0009-04-02,1/12/2012 5:25,MVL,63331904,63
SA-0133-16-62,13/12/2011 18:05,MVL,67848477,503
SA-0227-78-67,21/6/2012 5:11,MVL,60094648,478
SA-0182-19-79,20/1/2012 11:59,MVL,64863701,974
SA-0182-19-79,16/6/2012 11:48,MVL,66353810,355
SA-0249-45-54,19/12/2011 2:35,MVL,67066922,113
SA-0037-94-05,2/3/2011 1:52,MVL,62959707,426
SA-0303-06-26,12/3/2011 22:13,MVL,60193500,980
SA-0055-36-68,18/4/2012 15:10,MVL,64626004,166
SA-0112-53-34,23/1/2011 4:28,MVL,66652077,943
SA-0185-10-64,29/9/2011 12:43,MVL,65601922,346
SA-0261-41-34,11/6/2012 5:40,MVL,60758420,140
SA-0151-98-79,3/3/2011 6:24,MVL,65595710,762
SA-0314-69-44,25/7/2012 6:19,MVL,69653959,813
SA-0303-06-26,24/4/2012 0:13,MVL,67687278,544
SA-0033-12-88,2/4/2012 5:55,MVL,67410370,624
SA-0005-14-91,3/5/2011 15:25,MVL,63038888,710
SA-0303-06-26,3/12/2011 6:08,MVL,63681089,262
SA-0401-55-12,29/11/2011 7:37,MVL,67262123,304
SA-0185-10-64,13/2/2012 18:14,MVL,64440946,107
SA-0021-95-06,21/3/2011 3:02,MVL,69330205,738
SA-0114-12-73,15/8/2012 21:20,MVL,66863577,119
SA-0145-41-01,4/11/2012 14:37,MVL,63798430,388
SA-0312-94-95,21/1/2012 0:05,MVL,60119641,685
SA-0227-78-67,16/5/2011 8:07,MVL,65679520,620
SA-0279-91-74,28/9/2011 10:41,MVL,63892735,109
SA-0021-95-06,22/4/2012 16:44,MVL,63374429,696
SA-0009-04-02,21/10/2012 18:05,MVL,64591639,527
SA-0210-42-47,20/5/2012 21:02,MVL,63967078,144
SA-0186-07-48,2/10/2011 9:53,MVL,62616398,156
SA-0227-78-67,5/11/2012 4:32,MVL,60317766,719
SA-0252-71-33,16/11/2011 21:03,MVL,60442508,829
SA-0185-10-64,11/10/2011 10:09,MVL,62829841,752
SA-0155-74-77,26/1/2012 15:59,MVL,60271062,337
SA-0220-61-46,22/9/2011 12:33,MVL,61316750,305
SA-0185-10-64,30/4/2012 8:33,MVL,62287926,380
SA-0186-07-48,16/5/2012 19:05,MVL,65413831,772
SA-0339-42-22,16/8/2012 13:04,MVL,66059431,218
SA-0185-59-07,4/2/2012 0:05,MVL,60961520,202
SA-0138-33-52,26/4/2012 20:03,MVL,62197131,943
SA-0305-50-15,18/6/2012 22:43,MVL,69571850,221
SA-0138-33-52,9/7/2012 10:04,MVL,68078774,563
SA-0063-02-33,17/6/2011 7:46,MVL,66989048,535
SA-0155-74-77,27/3/2011 6:42,MVL,69407012,128
SA-0107-05-98,10/3/2011 12:54,MVL,65398293,597
SA-0112-53-34,23/8/2012 23:46,MVL,65458549,138
SA-0261-41-34,1/2/2012 2:53,MVL,69784547,599
SA-0335-96-08,10/8/2011 7:17,MVL,68482871,889
SA-0092-93-02,31/1/2011 3:01,MVL,68256690,114
SA-0414-86-48,30/10/2012 12:48,MVL,68641480,396
SA-0092-93-02,3/12/2011 22:21,MVL,67018790,834
SA-0114-12-73,21/8/2011 5:26,MVL,68184340,831
SA-0185-59-07,9/12/2011 11:03,MVL,65148871,60
SA-0182-19-79,9/5/2012 4:21,MVL,65046770,264
SA-0185-10-64,3/1/2011 21:24,MVL,63571467,631
SA-0339-42-22,3/11/2012 3:18,MVL,65388090,498
SA-0290-06-89,19/8/2012 10:43,MVL,67823448,632
SA-0227-78-67,20/8/2011 23:39,MVL,63083094,747
SA-0343-60-69,12/5/2012 17:19,MVL,63853341,343
SA-0147-43-82,6/2/2012 13:17,MVL,68729653,858
SA-0305-50-15,2/10/2012 9:52,MVL,61449212,505
SA-0080-84-93,26/8/2012 14:01,MVL,64088223,997
SA-0155-74-77,28/11/2012 21:27,MVL,68871725,750
SA-0144-10-84,25/5/2011 1:49,MVL,61676446,320
SA-0227-78-67,27/5/2011 9:21,MVL,64651449,917
SA-0339-42-22,19/1/2012 22:37,MVL,60716964,457
SA-0114-12-73,25/7/2011 19:03,MVL,63792914,441
SA-0263-79-37,9/2/2011 1:32,MVL,64128219,724
SA-0151-98-79,19/3/2012 9:11,MVL,63802363,865
SA-0037-94-05,5/2/2012 14:42,MVL,60570662,683
SA-0401-55-12,7/1/2012 14:24,MVL,65151048,87
SA-0252-71-33,23/2/2011 22:24,MVL,64782305,438
SA-0050-81-89,10/9/2012 16:45,MVL,67009883,816
SA-0063-02-33,4/4/2012 4:29,MVL,60798048,120
SA-0378-80-96,2/4/2012 3:01,MVL,67133207,823
SA-0305-50-15,3/1/2012 11:43,MVL,64777670,248
SA-0220-48-64,26/12/2012 18:03,MVL,69072117,433
SA-0303-06-26,11/10/2012 0:43,MVL,60840132,489
SA-0220-48-64,23/7/2012 9:34,MVL,66231021,406
SA-0414-20-79,20/1/2011 13:10,MVL,66521574,779
SA-0063-02-33,29/6/2011 8:45,MVL,66074073,341
SA-0133-16-62,12/8/2012 22:32,MVL,63373424,134
SA-0249-45-54,24/6/2011 9:17,MVL,67000182,261
SA-0305-50-15,26/4/2011 21:50,MVL,63404102,783
SA-0037-94-05,27/1/2011 20:38,MVL,62892926,839
SA-0220-61-46,16/10/2011 18:05,MVL,69562564,308
SA-0261-41-34,11/9/2012 9:07,MVL,65594205,638
SA-0249-45-54,6/1/2012 3:08,MVL,63738895,365
SA-0055-36-68,12/2/2011 9:18,MVL,60053835,277
SA-0210-42-47,25/2/2011 14:59,MVL,68411973,839
SA-0005-14-91,24/12/2012 6:37,MVL,63450958,827
SA-0092-93-02,29/7/2012 11:56,MVL,68105745,425
SA-0249-45-54,19/1/2012 20:02,MVL,62678139,799
SA-0222-28-58,14/3/2012 5:44,MVL,64951175,724
SA-0133-16-62,26/6/2011 17:19,MVL,66122596,837
SA-0005-14-91,27/6/2012 8:40,MVL,63563055,774
SA-0305-50-15,24/10/2011 6:24,MVL,61348342,386
SA-0343-60-69,13/12/2012 11:00,MVL,69984327,672
SA-0210-42-47,19/10/2011 9:42,MVL,68211858,632
SA-0155-74-77,26/9/2012 14:55,MVL,64743218,466
SA-0147-43-82,20/7/2011 22:37,MVL,68598560,791
SA-0144-10-84,14/3/2012 7:26,MVL,69807669,99
SA-0005-14-91,6/11/2012 5:55,MVL,69276187,634
SA-0021-95-06,7/11/2011 3:44,MVL,62706485,486
SA-0343-60-69,4/3/2011 2:51,MVL,68738779,830
SA-0263-79-37,23/3/2011 18:59,MVL,65363353,530
SA-0290-06-89,15/9/2012 3:49,MVL,60125818,516
SA-0063-02-33,1/8/2012 19:19,MVL,60168053,347
SA-0033-12-88,6/11/2012 23:43,MVL,64221696,539
SA-0037-94-05,11/9/2011 11:08,MVL,61567357,254
SA-0151-98-79,2/2/2011 19:08,MVL,63018510,99
SA-0114-12-73,22/6/2011 2:25,MVL,65097274,774
SA-0220-48-64,8/5/2012 23:24,MVL,63779592,547
SA-0151-98-79,7/10/2011 2:26,MVL,69668474,539
SA-0033-12-88,12/6/2011 23:59,MVL,65468291,958
SA-0414-86-48,17/5/2012 4:23,MVL,64412008,406
SA-0227-78-67,1/6/2012 23:53,MVL,69036274,615
SA-0055-36-68,4/10/2012 0:21,MVL,62670951,343
SA-0401-55-12,22/10/2012 7:18,MVL,64844308,679
SA-0305-50-15,14/10/2012 7:11,MVL,65849194,805
SA-0133-16-62,25/2/2012 6:19,MVL,63546743,830
SA-0210-42-47,31/5/2012 20:20,MVL,62620342,849
SA-0185-10-64,26/3/2011 3:25,MVL,66783739,518
SA-0312-94-95,26/12/2012 5:34,MVL,68584679,511
SA-0145-41-01,11/6/2012 2:21,MVL,65922349,225
SA-0279-91-74,13/9/2012 22:47,MVL,65010697,296
SA-0186-07-48,27/10/2011 0:19,MVL,67212048,312
SA-0055-36-68,1/3/2012 8:11,MVL,61735090,289
SA-0187-35-19,11/12/2012 22:33,MVL,61574997,506
SA-0401-55-12,24/1/2011 23:35,MVL,65717155,494
SA-0401-55-12,15/5/2011 1:00,MVL,64684252,201
SA-0182-19-79,5/2/2011 4:23,MVL,68679157,658
SA-0114-12-73,7/5/2012 20:41,MVL,61773324,557
SA-0263-79-37,6/8/2011 3:52,MVL,66647584,838
SA-0186-07-48,10/7/2012 22:01,MVL,61766763,805
SA-0055-36-68,7/3/2012 1:35,MVL,61568474,854
SA-0279-91-74,31/7/2011 18:23,MVL,66522342,291
SA-0343-60-69,22/10/2011 15:24,MVL,64310854,402
SA-0414-20-79,2/3/2012 2:55,MVL,61406890,588
SA-0107-05-98,21/8/2012 2:30,MVL,60592370,982
SA-0378-80-96,18/3/2012 0:23,MVL,66508680,375
SA-0021-95-06,17/12/2012 3:32,MVL,68550556,742
SA-0182-19-79,23/6/2012 18:56,MVL,65910011,218
SA-0185-10-64,9/9/2012 17:58,MVL,60301622,678
SA-0186-07-48,11/8/2012 17:11,MVL,65526071,969
SA-0092-93-02,22/9/2011 10:38,MVL,62861005,159
SA-0185-10-64,10/12/2011 5:39,MVL,65409845,152
SA-0009-04-02,28/6/2012 16:41,MVL,69591821,828
SA-0185-59-07,15/3/2012 9:42,MVL,61694775,970
SA-0144-10-84,28/4/2011 6:41,MVL,61525298,933
SA-0009-04-02,2/8/2011 18:20,MVL,64253027,524
SA-0151-98-79,22/2/2012 6:46,MVL,62475977,570
SA-0222-28-58,27/10/2011 19:11,MVL,63896460,114
SA-0187-35-19,26/6/2012 0:13,MVL,60674940,911
SA-0339-42-22,29/8/2012 5:23,MVL,68720943,938
SA-0114-12-73,1/4/2012 16:44,MVL,64297319,304
SA-0185-10-64,11/9/2012 15:10,MVL,69447745,704
SA-0220-61-46,28/6/2012 22:34,MVL,68125606,558
SA-0252-71-33,5/1/2012 22:17,MVL,60891263,494
SA-0055-36-68,23/6/2012 10:27,MVL,64579256,912
SA-0033-12-88,19/3/2012 21:56,MVL,60411687,146
SA-0339-42-22,23/1/2012 18:40,MVL,69121717,311
SA-0279-91-74,5/8/2012 9:17,MVL,62318453,651
SA-0138-33-52,15/2/2011 0:17,MVL,62248848,841
SA-0092-93-02,2/10/2012 8:15,MVL,66560787,434
SA-0012-71-76,10/10/2012 8:08,MVL,65629302,765
SA-0107-05-98,23/4/2011 8:40,MVL,69374365,673
SA-0155-74-77,29/11/2011 0:14,MVL,65513287,753
SA-0361-84-31,24/3/2012 10:01,MVL,61163062,482
SA-0187-35-19,19/8/2012 22:03,MVL,61406158,278
SA-0185-59-07,26/7/2012 10:29,MVL,62767618,273
SA-0202-82-34,7/8/2011 8:28,MVL,61937695,834
SA-0401-55-12,2/4/2012 0:16,MVL,60410067,234
SA-0263-79-37,20/4/2011 13:07,MVL,62466419,628
SA-0055-36-68,26/8/2011 2:43,MVL,60637869,805
SA-0261-41-34,16/4/2011 22:56,MVL,67414136,943
SA-0033-12-88,5/1/2011 10:32,MVL,65265195,195
SA-0290-06-89,1/7/2012 20:45,MVL,67778598,143
SA-0220-48-64,1/11/2011 20:02,MVL,63496970,982
SA-0114-12-73,19/11/2011 8:06,MVL,67883906,667
SA-0314-69-44,7/11/2012 18:10,MVL,62647987,393
SA-0305-50-15,4/2/2012 19:50,MVL,65459180,804
SA-0063-02-33,18/5/2011 3:08,MVL,69709913,319
SA-0005-14-91,14/8/2012 23:00,MVL,68922253,570
SA-0133-16-62,13/8/2012 4:15,MVL,63392422,260
SA-0343-60-69,2/4/2012 9:45,MVL,64803972,525
SA-0185-59-07,18/11/2011 6:25,MVL,63971885,852
SA-0021-95-06,23/5/2012 1:49,MVL,66253725,157
SA-0187-35-19,6/1/2011 22:40,MVL,62619121,835
SA-0055-36-68,10/3/2011 15:47,MVL,64803098,738
SA-0080-84-93,8/12/2012 15:27,MVL,62235249,989
SA-0312-94-95,11/12/2011 22:33,MVL,68041988,779
SA-0343-60-69,14/3/2011 11:08,MVL,63461139,508
SA-0220-48-64,12/8/2012 14:42,MVL,64071363,616
SA-0305-50-15,3/5/2011 4:11,MVL,61147075,128
SA-0401-55-12,24/4/2012 18:43,MVL,62384619,165
SA-0155-74-77,29/4/2012 11:57,MVL,60268213,535
SA-0107-05-98,24/8/2012 14:34,MVL,68750105,555
SA-0210-42-47,22/6/2011 17:35,MVL,62800407,912
SA-0312-94-95,2/1/2012 10:36,MVL,65832039,520
SA-0187-35-19,4/11/2011 7:22,MVL,62821294,267
SA-0185-10-64,12/8/2011 15:00,MVL,67635670,821
SA-0144-10-84,17/4/2011 8:40,MVL,66300363,963
SA-0080-84-93,8/1/2012 4:37,MVL,68673470,827
SA-0144-10-84,22/3/2011 3:52,MVL,61510064,311
SA-0050-81-89,30/1/2011 4:09,MVL,60765763,137
SA-0414-20-79,17/10/2012 9:33,MVL,63582062,207
SA-0303-06-26,15/10/2011 12:06,MVL,61736919,501
SA-0107-05-98,14/10/2011 7:22,MVL,67706609,329
SA-0147-43-82,25/1/2011 23:51,MVL,64973134,640
SA-0080-84-93,5/6/2011 5:43,MVL,62460051,978
SA-0414-20-79,27/8/2011 9:27,MVL,61004313,771
SA-0133-16-62,14/9/2012 13:47,MVL,67921151,483
SA-0187-35-19,20/2/2012 6:17,MVL,68245341,311
SA-0151-98-79,23/7/2011 6:52,MVL,68993481,953
SA-0033-12-88,21/3/2012 16:42,MVL,65615292,443
SA-0303-06-26,14/12/2011 21:57,MVL,67036948,633
SA-0021-95-06,14/8/2011 22:43,MVL,69046386,72
SA-0037-94-05,11/7/2011 18:12,MVL,67225197,370
SA-0033-12-88,17/1/2011 1:50,MVL,63560151,627
SA-0343-60-69,12/8/2011 0:02,MVL,60592417,74
SA-0185-59-07,7/2/2012 20:31,MVL,64542205,184
SA-0186-07-48,4/8/2011 12:38,MVL,60338045,375
SA-0005-14-91,2/9/2012 13:14,MVL,69658588,798
SA-0155-74-77,13/1/2011 22:00,MVL,61249469,750
SA-0151-98-79,8/11/2012 15:57,MVL,60723401,399
SA-0144-10-84,20/9/2012 6:15,MVL,62250011,364
SA-0009-04-02,6/11/2011 20:53,MVL,63936132,273
SA-0227-78-67,28/1/2011 15:16,MVL,61704983,337
SA-0202-82-34,20/8/2012 16:20,MVL,66949853,465
SA-0114-12-73,2/2/2012 18:22,MVL,64427810,470
SA-0279-91-74,17/8/2011 23:28,MVL,66911955,594
SA-0112-53-34,10/5/2012 3:30,MVL,66713759,997
SA-0314-69-44,22/2/2012 12:34,MVL,63776590,205
SA-0401-55-12,28/11/2011 21:47,MVL,66831551,854
SA-0187-35-19,25/7/2011 18:24,MVL,61809599,618
SA-0263-79-37,1/9/2012 14:57,MVL,67994105,255
SA-0305-50-15,16/10/2012 9:12,MVL,67880303,977
SA-0227-78-67,9/8/2012 14:39,MVL,69969411,464
SA-0185-10-64,8/5/2012 18:18,MVL,62271790,534
SA-0182-19-79,27/5/2011 11:41,MVL,67619671,408
SA-0290-06-89,13/2/2012 13:46,MVL,66630464,112
SA-0185-59-07,23/6/2012 11:29,MVL,67232368,285
SA-0335-96-08,7/5/2012 23:04,MVL,64209369,570
SA-0005-14-91,5/12/2012 14:08,MVL,67335357,707
SA-0155-74-77,11/5/2012 12:25,MVL,66150160,410
SA-0361-84-31,17/4/2012 1:26,MVL,62083256,479
SA-0080-84-93,29/3/2012 21:23,MVL,63072139,993
SA-0361-84-31,4/4/2012 0:04,MVL,68862466,487
SA-0314-69-44,4/1/2011 7:48,MVL,60319425,922
SA-0063-02-33,19/9/2012 13:26,MVL,64695138,234
SA-0050-81-89,30/3/2011 1:40,MVL,62422009,672
SA-0202-82-34,27/4/2011 18:35,MVL,69164592,543
SA-0303-06-26,6/11/2011 6:15,MVL,69529899,594
SA-0155-74-77,25/11/2011 19:37,MVL,65549211,362
SA-0335-96-08,21/2/2011 11:07,MVL,66353090,368
SA-0187-35-19,8/11/2012 7:50,MVL,68812710,976
SA-0361-84-31,13/1/2011 21:19,MVL,69504241,209
SA-0343-60-69,22/8/2012 8:22,MVL,62250816,834
SA-0138-33-52,2/7/2011 1:36,MVL,61813547,699
SA-0210-42-47,2/2/2012 19:30,MVL,62084707,308
SA-0092-93-02,1/3/2011 20:25,MVL,61470095,236
SA-0220-61-46,16/4/2012 7:24,MVL,66908181,830
SA-0263-79-37,7/1/2011 18:34,MVL,61457788,127
SA-0414-86-48,15/9/2011 5:22,MVL,60703218,259
SA-0414-20-79,4/10/2012 17:57,MVL,69829131,628
SA-0312-94-95,14/5/2011 5:21,MVL,63032793,586
SA-0112-53-34,8/4/2011 7:29,MVL,60240839,797
SA-0112-53-34,27/6/2011 6:41,MVL,64109429,241
SA-0185-59-07,19/8/2011 12:55,MVL,67280971,259
SA-0263-79-37,24/10/2012 7:54,MVL,68942353,168
SA-0112-53-34,4/12/2011 20:46,MVL,67635108,663
SA-0220-61-46,12/1/2012 18:19,MVL,66716392,866
SA-0303-06-26,1/9/2011 23:31,MVL,60703647,335
SA-0037-94-05,16/1/2012 5:44,MVL,67425986,157
SA-0252-71-33,5/11/2012 5:42,MVL,64361489,299
SA-0144-10-84,19/3/2012 19:49,MVL,64545920,494
SA-0080-84-93,10/6/2011 15:14,MVL,61620060,830
SA-0021-95-06,19/8/2012 20:59,MVL,60488362,831
SA-0252-71-33,18/7/2012 6:13,MVL,65201615,72
SA-0012-71-76,26/7/2011 3:47,MVL,60698465,577
SA-0263-79-37,9/10/2011 3:06,MVL,67146758,678
SA-0021-95-06,23/4/2011 12:31,MVL,62860857,831
SA-0361-84-31,2/4/2011 16:01,MVL,62698397,167
SA-0314-69-44,10/4/2012 23:04,MVL,63417795,62
SA-0185-59-07,20/4/2012 17:57,MVL,61434941,215
SA-0080-84-93,5/6/2012 12:47,MVL,66441143,896
SA-0414-20-79,2/4/2011 13:47,MVL,62608675,655
SA-0021-95-06,11/10/2012 3:52,MVL,69319782,970
SA-0303-06-26,1/9/2011 16:18,MVL,68777091,730
SA-0112-53-34,15/2/2011 21:51,MVL,65353094,796
SA-0055-36-68,14/9/2012 12:19,MVL,60213742,845
SA-0249-45-54,22/3/2012 20:44,MVL,69146762,616
SA-0182-19-79,23/6/2012 14:57,MVL,64837461,298
SA-0290-06-89,23/8/2011 2:57,MVL,62917656,886
SA-0185-59-07,16/10/2012 22:41,MVL,67321115,701
SA-0182-19-79,3/12/2011 12:37,MVL,68902747,873
SA-0335-96-08,2/12/2011 14:07,MVL,60061387,864
SA-0055-36-68,17/3/2011 18:43,MVL,64441787,217
SA-0186-07-48,30/5/2012 18:27,MVL,61293351,816
SA-0202-82-34,15/10/2011 14:55,MVL,61459649,544
SA-0037-94-05,20/10/2012 9:01,MVL,65695954,108
SA-0187-35-19,1/8/2011 19:26,MVL,63979599,375
SA-0220-48-64,10/2/2011 4:28,MVL,61686748,386
SA-0151-98-79,9/5/2011 3:20,MVL,63765076,324
SA-0037-94-05,4/12/2011 23:43,MVL,62152982,269
SA-0263-79-37,11/4/2012 13:40,MVL,61261865,296
SA-0414-86-48,22/10/2011 8:52,MVL,61191657,314
SA-0033-12-88,23/12/2012 9:46,MVL,65434266,689
SA-0378-80-96,9/7/2012 18:20,MVL,61791118,639
SA-0151-98-79,14/8/2012 20:53,MVL,69096666,881
SA-0227-78-67,14/10/2011 8:55,MVL,63218877,740
SA-0005-14-91,15/1/2012 6:42,MVL,64289912,333
SA-0227-78-67,18/4/2012 10:41,MVL,66465542,777
SA-0012-71-76,18/9/2012 3:39,MVL,65895660,538
SA-0092-93-02,29/6/2012 14:32,MVL,67849100,689
SA-0185-59-07,25/8/2011 12:56,MVL,66430881,887
SA-0312-94-95,19/4/2011 2:31,MVL,66442897,627
SA-0037-94-05,27/3/2011 5:26,MVL,67832247,539
SA-0185-59-07,16/7/2011 15:08,MVL,69843542,113
