AccNo,CallTime,Type,PhoneNo,During_in_secs
SA-0263-79-37,27/4/2012 23:20,L,61411857,1958
SA-0414-20-79,7/4/2011 4:50,L,69022669,2404
SA-0222-28-58,1/10/2012 8:50,L,61154304,1239
SA-0220-48-64,21/7/2011 8:35,L,60313875,1516
SA-0343-60-69,14/5/2011 17:25,L,61409310,2290
SA-0378-80-96,20/11/2011 14:36,L,66222451,274
SA-0138-33-52,14/4/2012 22:18,L,64617550,2950
SA-0033-12-88,14/7/2012 2:15,L,66817128,1754
SA-0263-79-37,6/7/2011 9:11,L,64134304,825
SA-0145-41-01,26/3/2012 18:01,L,63610750,1410
SA-0314-69-44,4/7/2012 3:34,L,64711519,1001
SA-0063-02-33,4/10/2011 3:09,L,64951944,2918
SA-0147-43-82,18/12/2012 23:21,L,63542911,1994
SA-0343-60-69,8/9/2011 7:14,L,69627225,1841
SA-0227-78-67,10/4/2011 8:23,L,63321166,3014
SA-0145-41-01,24/7/2012 5:15,L,60200119,663
SA-0261-41-34,22/6/2011 6:59,L,67867464,2458
SA-0050-81-89,28/1/2012 3:29,L,66984876,3455
SA-0050-81-89,2/12/2011 7:31,L,64247736,880
SA-0261-41-34,14/5/2012 20:16,L,62970769,2341
SA-0021-95-06,23/3/2011 1:00,L,65892076,2085
SA-0080-84-93,9/6/2012 22:19,L,68779315,3105
SA-0220-61-46,21/1/2012 12:27,L,62139304,1955
SA-0314-69-44,3/11/2011 23:47,L,63081965,2804
SA-0220-48-64,30/3/2011 4:26,L,68585700,2846
SA-0279-91-74,5/10/2012 0:26,L,61916574,802
SA-0145-41-01,21/6/2012 4:49,L,62267778,946
SA-0114-12-73,15/2/2011 20:05,L,61603144,709
SA-0037-94-05,17/2/2012 11:17,L,61358088,2800
SA-0414-20-79,22/10/2012 4:46,L,65444941,2779
SA-0138-33-52,10/10/2011 19:49,L,65291549,3439
SA-0145-41-01,31/12/2012 19:16,L,67261976,3347
SA-0021-95-06,18/10/2011 2:47,L,69125476,1162
SA-0107-05-98,24/8/2012 18:17,L,65004969,2447
SA-0063-02-33,13/11/2011 21:02,L,60565543,1728
SA-0227-78-67,28/9/2011 5:34,L,60611531,660
SA-0063-02-33,27/11/2011 5:24,L,68588652,2936
SA-0186-07-48,4/6/2011 14:45,L,69766815,1482
SA-0080-84-93,17/5/2011 13:29,L,66076886,1630
SA-0227-78-67,31/7/2012 13:57,L,63876136,793
SA-0112-53-34,11/6/2012 20:18,L,60774366,2527
SA-0279-91-74,18/1/2012 23:03,L,63500799,2298
SA-0312-94-95,15/3/2011 9:19,L,68501522,3080
SA-0187-35-19,21/6/2012 15:43,L,62242979,196
SA-0080-84-93,3/6/2011 18:52,L,61254776,278
SA-0055-36-68,14/3/2012 5:53,L,67434965,1860
SA-0220-61-46,14/3/2011 9:08,L,68491397,3572
SA-0133-16-62,19/9/2012 21:39,L,68651484,542
SA-0185-10-64,22/2/2011 15:22,L,64823170,540
SA-0080-84-93,12/2/2012 23:16,L,60227290,1935
SA-0263-79-37,3/12/2012 18:56,L,69078549,1913
SA-0151-98-79,23/2/2012 10:53,L,69171311,757
SA-0252-71-33,25/6/2012 22:29,L,60935084,2657
SA-0055-36-68,23/12/2012 1:11,L,64913192,2672
SA-0145-41-01,23/6/2011 1:22,L,66736084,929
SA-0145-41-01,30/8/2011 17:49,L,60197618,2674
SA-0033-12-88,30/7/2011 2:57,L,68530167,3292
SA-0249-45-54,15/9/2012 16:07,L,68481141,3446
SA-0185-59-07,26/9/2011 19:45,L,66819095,1539
SA-0021-95-06,15/6/2011 13:14,L,62651171,1868
SA-0185-59-07,19/8/2011 23:21,L,68716944,2587
SA-0185-59-07,22/11/2012 20:36,L,69747569,3469
SA-0290-06-89,16/6/2012 11:25,L,66293902,2842
SA-0252-71-33,5/4/2012 14:22,L,61854101,3505
SA-0037-94-05,23/12/2012 19:16,L,63547657,3426
SA-0202-82-34,12/1/2012 20:56,L,69647972,3347
SA-0037-94-05,19/12/2012 11:01,L,61342542,2944
SA-0185-59-07,28/2/2011 16:27,L,66396412,2774
SA-0050-81-89,15/1/2012 9:38,L,68056161,1538
SA-0186-07-48,23/7/2012 12:07,L,66092616,2743
SA-0401-55-12,1/12/2011 1:44,L,61701392,1682
SA-0155-74-77,19/4/2011 3:38,L,61265845,810
SA-0312-94-95,4/5/2012 10:34,L,61695817,439
SA-0151-98-79,26/1/2012 18:31,L,64228251,2269
SA-0414-20-79,1/9/2012 5:05,L,60955114,449
SA-0220-61-46,6/11/2012 11:30,L,61696607,1960
SA-0263-79-37,30/1/2012 9:18,L,66402638,3161
SA-0210-42-47,18/3/2012 12:51,L,69356020,2304
SA-0138-33-52,6/2/2011 22:18,L,62504381,2119
SA-0185-10-64,7/10/2011 7:30,L,66661253,1036
SA-0080-84-93,6/2/2011 20:59,L,67454573,2998
SA-0261-41-34,4/6/2011 21:55,L,69704125,3481
SA-0186-07-48,29/5/2011 21:13,L,63979322,2026
SA-0335-96-08,30/3/2011 18:59,L,67665764,1428
SA-0378-80-96,28/12/2011 1:35,L,66688253,1826
SA-0112-53-34,1/1/2011 15:02,L,67153451,2860
SA-0185-59-07,16/12/2011 3:26,L,67863611,2952
SA-0220-61-46,4/11/2011 22:46,L,65637010,560
SA-0222-28-58,1/6/2012 23:01,L,69733827,3462
SA-0055-36-68,5/2/2012 4:23,L,64964236,856
SA-0063-02-33,1/3/2012 10:32,L,60610109,914
SA-0009-04-02,22/5/2011 17:21,L,61005490,3481
SA-0252-71-33,17/9/2012 15:40,L,64864685,3016
SA-0263-79-37,25/11/2011 12:29,L,63663276,2543
SA-0202-82-34,8/5/2011 3:28,L,61305580,3490
SA-0303-06-26,25/11/2012 12:22,L,61149093,2627
SA-0312-94-95,6/4/2011 5:42,L,60533062,1832
SA-0339-42-22,3/10/2012 17:14,L,66485252,2649
SA-0414-20-79,28/10/2011 15:19,L,67016306,3549
SA-0279-91-74,13/9/2012 16:23,L,63658324,1452
SA-0335-96-08,24/11/2012 4:24,L,61230544,358
SA-0112-53-34,4/1/2012 18:39,L,63712010,334
SA-0063-02-33,15/5/2012 4:45,L,67618122,3300
SA-0107-05-98,10/7/2011 11:31,L,64156469,2582
SA-0114-12-73,28/12/2011 21:30,L,66923415,2767
SA-0114-12-73,26/12/2012 16:29,L,65382608,2123
SA-0414-20-79,16/12/2011 4:19,L,69844408,798
SA-0133-16-62,17/12/2011 6:25,L,68807635,1909
SA-0037-94-05,21/12/2011 23:13,L,67974615,1608
SA-0107-05-98,22/11/2011 16:23,L,68309153,1641
SA-0021-95-06,24/1/2012 10:45,L,61269592,2724
SA-0055-36-68,23/12/2012 4:38,L,65478781,793
SA-0185-59-07,31/5/2011 12:35,L,61358920,1267
SA-0144-10-84,20/7/2011 23:06,L,68278075,1002
SA-0210-42-47,12/9/2012 14:25,L,63366793,1699
SA-0303-06-26,14/6/2011 23:23,L,60048528,1303
SA-0021-95-06,14/2/2012 4:16,L,67479365,1425
SA-0005-14-91,15/7/2012 14:27,L,63171820,1765
SA-0055-36-68,13/1/2011 22:52,L,67273993,1897
SA-0335-96-08,23/2/2012 20:42,L,63057850,1621
SA-0114-12-73,2/10/2011 5:02,L,66235466,133
SA-0050-81-89,25/9/2012 17:27,L,67401567,2856
SA-0414-86-48,10/3/2012 6:23,L,61635383,3343
SA-0414-86-48,8/4/2012 1:13,L,67291704,1296
SA-0378-80-96,19/5/2011 3:16,L,62757842,895
SA-0145-41-01,1/6/2012 21:07,L,65347224,1963
SA-0290-06-89,3/7/2012 2:06,L,66103620,730
SA-0092-93-02,28/11/2012 14:35,L,66724977,2367
SA-0112-53-34,2/1/2011 1:24,L,61203196,2730
SA-0202-82-34,14/9/2012 10:37,L,63557895,1897
SA-0279-91-74,10/5/2012 13:29,L,60988422,1199
SA-0290-06-89,17/8/2012 4:13,L,62981852,1046
SA-0252-71-33,20/10/2011 15:52,L,63891684,111
SA-0220-61-46,5/8/2011 21:32,L,69251493,3541
SA-0185-59-07,23/10/2011 12:19,L,66194443,1500
SA-0220-61-46,8/6/2011 0:38,L,68172581,1428
SA-0187-35-19,21/5/2011 15:40,L,61160769,2306
SA-0314-69-44,26/1/2011 15:00,L,63829935,2569
SA-0144-10-84,19/3/2011 17:02,L,64507519,1098
SA-0133-16-62,7/2/2012 0:11,L,68244900,1999
SA-0185-10-64,29/8/2012 4:38,L,69355328,217
SA-0305-50-15,11/12/2012 3:45,L,68027185,273
SA-0252-71-33,12/6/2011 6:48,L,64371289,1910
SA-0133-16-62,31/12/2011 21:28,L,64599250,3379
SA-0339-42-22,1/11/2011 23:38,L,67888515,691
SA-0063-02-33,3/2/2011 20:17,L,64717549,1685
SA-0092-93-02,14/10/2012 0:31,L,68596563,1602
SA-0050-81-89,9/5/2012 16:30,L,65979806,1347
SA-0290-06-89,20/11/2012 21:14,L,64447158,2544
SA-0220-61-46,6/6/2012 21:16,L,62616824,1337
SA-0220-48-64,25/8/2012 6:41,L,67642901,211
SA-0303-06-26,29/1/2012 14:55,L,62091294,848
SA-0012-71-76,14/5/2011 1:01,L,60219223,1384
SA-0012-71-76,25/3/2012 9:18,L,68734904,2839
SA-0151-98-79,15/12/2011 18:29,L,61677072,97
SA-0343-60-69,8/6/2012 12:36,L,63055507,1164
SA-0155-74-77,6/8/2011 18:45,L,68749170,393
SA-0279-91-74,11/7/2012 3:43,L,66229271,2396
SA-0335-96-08,8/6/2012 11:10,L,61042391,1861
SA-0185-59-07,6/11/2012 5:24,L,60815011,3335
SA-0147-43-82,15/8/2012 23:25,L,68092147,944
SA-0138-33-52,18/9/2012 22:42,L,62193663,837
SA-0210-42-47,15/1/2012 4:24,L,68557204,3345
SA-0227-78-67,1/2/2012 12:55,L,64107446,877
SA-0138-33-52,13/11/2012 9:21,L,60191495,2878
SA-0147-43-82,16/2/2012 12:09,L,68125078,2008
SA-0314-69-44,9/12/2011 11:56,L,69693378,1161
SA-0261-41-34,27/12/2012 16:24,L,63666294,3138
SA-0092-93-02,11/8/2011 7:51,L,68637617,539
SA-0263-79-37,30/3/2011 7:28,L,60049575,679
SA-0220-48-64,9/5/2012 1:34,L,62926273,1217
SA-0335-96-08,19/3/2012 17:51,L,67938616,3541
SA-0279-91-74,16/1/2011 17:23,L,66235773,2516
SA-0279-91-74,7/1/2011 20:49,L,66726911,2357
SA-0252-71-33,9/5/2011 14:06,L,65544732,2689
SA-0261-41-34,9/3/2011 23:24,L,68509681,3400
SA-0107-05-98,15/7/2012 0:03,L,68867763,1448
SA-0414-20-79,24/2/2011 2:30,L,61456110,1836
SA-0335-96-08,11/2/2011 13:56,L,63916718,130
SA-0155-74-77,3/3/2011 16:36,L,66017764,2857
SA-0182-19-79,29/7/2011 4:37,L,68590369,1139
SA-0227-78-67,28/2/2012 3:23,L,66167636,676
SA-0414-86-48,29/4/2011 0:53,L,66314794,1223
SA-0080-84-93,2/1/2012 2:36,L,64719879,797
SA-0414-86-48,16/8/2012 0:37,L,63861002,85
SA-0378-80-96,5/7/2012 12:07,L,60062459,1187
SA-0361-84-31,4/6/2012 1:42,L,68762323,3485
SA-0155-74-77,4/6/2011 9:15,L,64930134,3522
SA-0202-82-34,9/7/2012 4:38,L,63946314,2404
SA-0401-55-12,4/8/2011 23:39,L,69525051,2188
SA-0378-80-96,7/1/2011 22:14,L,68947856,527
SA-0063-02-33,4/7/2011 12:04,L,65346653,2900
SA-0210-42-47,24/12/2012 14:35,L,60093215,2038
SA-0312-94-95,3/1/2011 22:14,L,64725561,2122
SA-0290-06-89,20/9/2012 19:20,L,62757605,118
SA-0252-71-33,5/2/2011 1:39,L,65873514,131
SA-0033-12-88,20/6/2011 8:49,L,67543633,1529
SA-0222-28-58,5/5/2012 11:19,L,67548571,884
SA-0033-12-88,17/8/2011 7:54,L,62252934,1392
SA-0414-86-48,13/6/2012 18:32,L,60803938,2750
SA-0021-95-06,15/1/2012 2:44,L,69468547,2174
SA-0210-42-47,30/9/2012 9:21,L,67118555,1273
SA-0227-78-67,12/3/2012 15:39,L,66302064,3335
SA-0220-48-64,6/5/2011 11:23,L,68553860,2971
SA-0012-71-76,10/8/2011 3:49,L,67320842,436
SA-0220-61-46,29/8/2012 0:53,L,68734095,2130
SA-0145-41-01,19/4/2012 4:47,L,63922982,96
SA-0063-02-33,2/7/2012 9:24,L,69662739,2925
SA-0343-60-69,29/1/2011 11:18,L,66576529,2407
SA-0063-02-33,17/12/2012 15:15,L,62217897,647
SA-0151-98-79,30/7/2011 7:42,L,64628302,2009
SA-0378-80-96,20/9/2011 9:58,L,64768004,3275
SA-0220-61-46,11/4/2012 11:30,L,69018470,950
SA-0009-04-02,26/12/2011 23:28,L,62226903,273
SA-0312-94-95,18/12/2012 8:59,L,62738947,3229
SA-0202-82-34,11/3/2011 8:36,L,66368495,229
SA-0092-93-02,16/8/2012 2:54,L,61935781,1727
SA-0005-14-91,24/9/2012 18:53,L,66844039,349
SA-0414-20-79,27/1/2012 2:42,L,65729448,3048
SA-0092-93-02,18/9/2012 20:54,L,69312571,731
SA-0414-86-48,31/12/2012 2:26,L,67411003,1729
SA-0220-61-46,14/2/2011 4:33,L,64172768,3271
SA-0303-06-26,17/12/2011 7:57,L,69297123,1712
SA-0021-95-06,25/9/2012 19:29,L,69928547,371
SA-0055-36-68,12/2/2011 3:41,L,69573182,1745
SA-0185-59-07,11/7/2012 8:44,L,60507342,611
SA-0312-94-95,10/7/2011 8:36,L,62691733,1259
SA-0037-94-05,17/11/2012 7:45,L,69283118,318
SA-0401-55-12,4/12/2012 3:03,L,66124634,309
SA-0012-71-76,3/3/2012 18:00,L,69666089,3330
SA-0182-19-79,19/6/2012 3:14,L,62612874,1935
SA-0112-53-34,29/4/2011 4:08,L,69415564,2381
SA-0021-95-06,8/12/2011 1:19,L,69772402,104
SA-0227-78-67,12/7/2011 21:08,L,66373274,552
SA-0312-94-95,24/6/2012 1:09,L,61443683,1946
SA-0378-80-96,13/7/2012 14:29,L,60257637,320
SA-0314-69-44,8/5/2012 22:51,L,60976608,1255
SA-0414-86-48,19/5/2012 5:34,L,67818610,887
SA-0290-06-89,4/5/2011 4:07,L,62287837,1610
SA-0021-95-06,24/12/2012 18:46,L,65031237,2572
SA-0005-14-91,5/8/2011 21:38,L,60812209,2326
SA-0145-41-01,27/12/2011 19:24,L,62695257,2230
SA-0252-71-33,7/3/2011 17:44,L,61620387,2768
SA-0261-41-34,21/12/2012 19:34,L,62194539,2357
SA-0145-41-01,4/11/2012 11:57,L,60515587,2495
SA-0114-12-73,15/5/2011 17:56,L,65934015,3289
SA-0303-06-26,4/4/2011 10:26,L,65118920,411
SA-0144-10-84,19/8/2012 2:42,L,62835563,1146
SA-0145-41-01,21/5/2012 23:34,L,68155207,1735
SA-0263-79-37,16/12/2011 0:15,L,64998598,503
SA-0009-04-02,15/12/2012 13:35,L,66147655,1008
SA-0005-14-91,23/7/2011 8:45,L,63095112,936
SA-0138-33-52,16/2/2012 18:08,L,62592043,2234
SA-0021-95-06,1/6/2011 18:03,L,62384676,3021
SA-0261-41-34,12/5/2011 5:14,L,66848497,1119
SA-0252-71-33,5/12/2012 13:53,L,69144141,3026
SA-0151-98-79,14/3/2012 19:32,L,68021512,1901
SA-0261-41-34,20/8/2011 14:09,L,63695630,2337
SA-0339-42-22,22/9/2012 0:24,L,62662037,3260
SA-0227-78-67,27/10/2011 20:56,L,68520894,1969
SA-0249-45-54,12/5/2012 2:30,L,65564624,677
SA-0055-36-68,13/6/2011 0:56,L,68233609,1066
SA-0151-98-79,13/6/2012 12:30,L,66072080,1420
SA-0107-05-98,2/11/2012 6:19,L,67389260,3020
SA-0202-82-34,5/4/2012 14:39,L,65158628,613
SA-0361-84-31,30/7/2011 2:29,L,67149478,2694
SA-0187-35-19,4/12/2011 0:19,L,68630708,1999
SA-0033-12-88,16/4/2012 17:15,L,64562375,197
SA-0303-06-26,2/9/2011 21:08,L,61836859,2005
SA-0050-81-89,9/10/2012 20:02,L,60463938,1343
SA-0114-12-73,12/11/2012 19:22,L,61023158,249
SA-0343-60-69,10/11/2011 12:38,L,64527191,1313
SA-0290-06-89,9/5/2011 5:42,L,65092752,1179
SA-0202-82-34,19/9/2012 18:29,L,61515381,700
SA-0261-41-34,28/10/2011 2:08,L,62903048,411
SA-0186-07-48,9/1/2011 19:39,L,68269062,3265
SA-0182-19-79,17/6/2011 9:02,L,69585634,2135
SA-0080-84-93,16/6/2011 23:35,L,65818696,493
SA-0220-48-64,6/8/2011 10:40,L,64465984,672
SA-0303-06-26,11/12/2011 12:53,L,63622230,452
SA-0107-05-98,8/1/2011 22:18,L,67590860,2412
SA-0112-53-34,13/12/2012 11:03,L,64311711,2773
SA-0186-07-48,6/8/2012 9:00,L,65322237,3148
SA-0033-12-88,15/8/2012 21:44,L,66042340,1775
SA-0145-41-01,8/2/2011 22:10,L,61815320,2363
SA-0335-96-08,15/12/2012 2:42,L,69828065,741
SA-0401-55-12,1/8/2011 11:19,L,62140245,2775
SA-0303-06-26,21/12/2011 1:54,L,66570599,1440
SA-0314-69-44,14/3/2011 0:59,L,66139198,2260
SA-0361-84-31,3/6/2011 20:58,L,63738555,142
SA-0222-28-58,11/10/2011 13:23,L,62653027,219
SA-0401-55-12,29/9/2011 8:32,L,61314354,2728
SA-0312-94-95,5/9/2012 7:52,L,61383655,3295
SA-0005-14-91,9/6/2011 0:51,L,63198351,1161
SA-0092-93-02,28/10/2012 5:58,L,65796880,1248
SA-0009-04-02,18/9/2011 14:01,L,68733475,1626
SA-0361-84-31,26/1/2012 9:50,L,68998143,258
SA-0227-78-67,1/5/2012 3:57,L,66847795,1103
SA-0314-69-44,12/8/2011 14:54,L,61559128,1669
SA-0210-42-47,12/7/2011 12:31,L,68599628,3347
SA-0182-19-79,16/7/2012 11:16,L,69311213,851
SA-0021-95-06,23/4/2011 0:31,L,63445334,1541
SA-0361-84-31,15/3/2011 23:00,L,68123939,2208
SA-0343-60-69,3/8/2012 4:55,L,62416180,3567
SA-0050-81-89,15/2/2011 4:36,L,61540395,1306
SA-0210-42-47,11/1/2012 10:15,L,65362985,683
SA-0114-12-73,27/7/2011 3:14,L,66944469,2566
SA-0303-06-26,17/8/2012 9:59,L,61199387,1445
SA-0414-20-79,30/1/2012 0:38,L,64897194,829
SA-0220-61-46,12/4/2011 12:51,L,66248901,1549
SA-0133-16-62,26/11/2011 11:53,L,62992754,2964
SA-0335-96-08,20/1/2011 2:26,L,63016166,1433
SA-0249-45-54,25/10/2012 7:26,L,69084005,2371
SA-0080-84-93,31/1/2012 9:43,L,64704841,220
SA-0092-93-02,11/9/2012 5:00,L,68911698,2550
SA-0303-06-26,7/11/2011 17:08,L,68871722,1698
SA-0252-71-33,9/10/2011 11:25,L,67643727,2202
SA-0182-19-79,19/11/2011 4:37,L,64104752,2775
SA-0339-42-22,27/1/2012 13:31,L,61191464,188
SA-0335-96-08,20/3/2011 12:32,L,60610440,541
SA-0186-07-48,19/6/2011 4:43,L,64999885,911
SA-0261-41-34,15/4/2011 0:51,L,61954103,2627
SA-0263-79-37,2/9/2011 17:04,L,67509138,1325
SA-0050-81-89,30/11/2011 7:46,L,68073307,2022
SA-0037-94-05,13/5/2012 8:13,L,63529783,1029
SA-0114-12-73,9/10/2012 4:44,L,61802127,1244
SA-0414-86-48,1/7/2012 21:18,L,68907573,2704
SA-0414-86-48,22/6/2012 19:37,L,62678228,2366
SA-0138-33-52,4/10/2011 23:05,L,64794145,2940
SA-0314-69-44,26/6/2011 23:29,L,62991843,2512
SA-0220-48-64,19/3/2011 21:20,L,69734046,1630
SA-0414-86-48,30/3/2011 18:59,L,68450552,84
SA-0012-71-76,5/5/2011 5:06,L,67233168,1367
SA-0252-71-33,21/8/2011 12:41,L,60340591,1734
SA-0050-81-89,31/7/2012 19:15,L,65621999,151
SA-0012-71-76,25/5/2011 21:41,L,65143164,2275
SA-0050-81-89,1/3/2011 10:32,L,69408257,2541
SA-0335-96-08,23/1/2012 0:36,L,62428388,1589
SA-0220-48-64,4/11/2012 3:56,L,63229237,2472
SA-0063-02-33,17/11/2011 5:00,L,60716699,2577
SA-0343-60-69,3/5/2012 15:54,L,68235454,2137
SA-0021-95-06,11/6/2011 4:45,L,68903839,2114
SA-0005-14-91,19/10/2012 19:19,L,68431831,190
SA-0005-14-91,28/4/2012 0:02,L,61509557,2937
SA-0005-14-91,21/8/2011 15:52,L,61050904,2495
SA-0314-69-44,10/11/2012 16:35,L,68806035,834
SA-0414-86-48,8/1/2011 0:06,L,62282572,1151
SA-0063-02-33,19/4/2012 13:06,L,67038214,1833
SA-0414-86-48,31/8/2011 16:17,L,61041958,433
SA-0263-79-37,30/6/2011 13:53,L,69197658,3313
SA-0092-93-02,15/3/2012 6:02,L,65294565,3529
SA-0227-78-67,16/9/2011 4:11,L,69161472,1703
SA-0055-36-68,31/1/2011 18:03,L,63783793,751
SA-0063-02-33,2/10/2012 4:58,L,63711177,3123
SA-0261-41-34,20/1/2012 3:33,L,61568026,715
SA-0012-71-76,1/8/2012 16:41,L,68542604,966
SA-0107-05-98,30/3/2011 15:43,L,64494696,319
SA-0335-96-08,17/5/2011 2:44,L,61637547,686
SA-0414-20-79,14/12/2012 8:22,L,66727509,3081
SA-0080-84-93,16/2/2011 1:24,L,62206583,473
SA-0055-36-68,30/5/2011 4:44,L,66903497,2916
SA-0092-93-02,10/9/2011 2:04,L,64433965,696
SA-0220-61-46,19/12/2012 18:07,L,65131822,3265
SA-0133-16-62,25/5/2011 6:47,L,65083576,1884
SA-0361-84-31,21/6/2012 0:57,L,68342173,2793
SA-0290-06-89,12/8/2011 11:04,L,61155902,2185
SA-0021-95-06,2/12/2012 4:22,L,69791044,921
SA-0202-82-34,29/9/2011 21:33,L,62414716,2454
SA-0114-12-73,6/4/2012 16:03,L,66080032,1236
